Filename,Date,Time,Img
pondeli_03_f2_polymer_vsechny_l_bok_d150_2021-02-04_10-17-32-MWL-Ex(750)-Em(830)_Frgrnd,02/04/2021,10:19:02,Frgrnd
pondeli_03_f2_polymer_vsechny_l_bok_d15_2020-09-22_10-49-28-MWL-Ex(750)-Em(830)_Frgrnd,09/22/2020,10:50:57,Frgrnd
pondeli_03_f2_polymer_vsechny_l_bok_d180_2021-03-09_13-38-25-MWL-Ex(750)-Em(830)_Frgrnd,03/09/2021,13:39:54,Frgrnd
pondeli_03_f2_polymer_vsechny_l_bok_d245_2021-05-12_14-11-44-MWL-Ex(750)-Em(830)_Frgrnd,05/12/2021,14:13:12,Frgrnd
pondeli_03_f2_polymer_vsechny_l_bok_d29_2020-10-06_09-04-34-MWL-Ex(750)-Em(830)_Frgrnd,10/06/2020,09:06:02,Frgrnd
pondeli_03_f2_polymer_vsechny_l_bok_d57_2020-11-03_11-32-34-MWL-Ex(750)-Em(830)_Frgrnd,11/03/2020,11:34:02,Frgrnd
pondeli_03_f2_polymer_vsechny_l_bok_d70_2020-11-16_16-21-13-MWL-Ex(750)-Em(830)_Frgrnd,11/16/2020,16:22:41,Frgrnd
pondeli_03_f2_polymer_vsechny_l_bok_d85_2020-12-02_11-16-41-MWL-Ex(750)-Em(830)_Frgrnd,12/02/2020,11:18:09,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_24h_2020-09-08_13-12-24-MWL-Ex(750)-Em(830)_Frgrnd,09/08/2020,13:13:52,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_24h_2020-09-08_13-15-31-MWL-Ex(750)-Em(830)_Frgrnd,09/08/2020,13:17:00,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_48h_2020-09-09_13-10-13-MWL-Ex(750)-Em(830)_Frgrnd,09/09/2020,13:11:42,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_48h_2020-09-09_13-16-51-MWL-Ex(750)-Em(830)_Frgrnd,09/09/2020,13:18:19,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_72h_2020-09-10_11-30-20-MWL-Ex(750)-Em(830)_Frgrnd,09/10/2020,11:31:48,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_72h_2020-09-10_11-33-30-MWL-Ex(750)-Em(830)_Frgrnd,09/10/2020,11:34:58,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d07_2020-09-14_15-53-42-MWL-Ex(750)-Em(830)_Frgrnd,09/14/2020,15:55:10,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d07_2020-09-14_15-56-44-MWL-Ex(750)-Em(830)_Frgrnd,09/14/2020,15:58:13,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d120_2021-01-08_11-40-47-MWL-Ex(750)-Em(830)_Frgrnd,01/08/2021,11:42:14,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d120_2021-01-08_11-43-53-MWL-Ex(750)-Em(830)_Frgrnd,01/08/2021,11:45:20,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d150_2021-02-04_10-20-50-MWL-Ex(750)-Em(830)_Frgrnd,02/04/2021,10:22:19,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d150_2021-02-04_10-27-41-MWL-Ex(750)-Em(830)_Frgrnd,02/04/2021,10:29:09,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d15_2020-09-22_10-53-05-MWL-Ex(750)-Em(830)_Frgrnd,09/22/2020,10:54:33,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d15_2020-09-22_10-59-44-MWL-Ex(750)-Em(830)_Frgrnd,09/22/2020,11:01:12,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d180_2021-03-09_13-28-35-MWL-Ex(750)-Em(830)_Frgrnd,03/09/2021,13:30:04,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d180_2021-03-09_13-35-18-MWL-Ex(750)-Em(830)_Frgrnd,03/09/2021,13:36:46,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d245_2021-05-12_14-14-58-MWL-Ex(750)-Em(830)_Frgrnd,05/12/2021,14:16:26,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d245_2021-05-12_14-24-07-MWL-Ex(750)-Em(830)_Frgrnd,05/12/2021,14:25:35,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d29_2020-10-06_09-08-06-MWL-Ex(750)-Em(830)_Frgrnd,10/06/2020,09:09:35,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d29_2020-10-06_09-12-52-MWL-Ex(750)-Em(830)_Frgrnd,10/06/2020,09:14:07,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d57_2020-11-03_11-35-38-MWL-Ex(750)-Em(830)_Frgrnd,11/03/2020,11:37:07,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d57_2020-11-03_11-38-52-MWL-Ex(750)-Em(830)_Frgrnd,11/03/2020,11:40:21,Frgrnd
